,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,pensais,thought
4,genre,kind
5,mois,month
6,laisser,let
7,mettre,to put
8,aucun,no
9,eux,them
10,ville,city
11,parlé,speak
12,arrivé,come
13,devrait,should
14,bébé,baby
15,vont,will
16,aucune,any
17,parle,speak
18,savais,knew
19,étaient,were
20,voici,here is
21,pourrais,could
22,affaire,case
23,donner,give
24,leurs,their
25,donné,given
26,train,train
27,yeux,eyes
28,dont,whose
29,trouve,find
30,premier,first
31,côté,side
32,pouvoir,power
33,sois,be
34,tiens,here
35,tellement,so much
36,point,point
37,suite,after
38,pardon,sorry
39,devant,in front of
40,vers,towards
41,minutes,minutes
42,mis,placed
43,droit,law
44,aimerais,would like to
45,mari,husband
46,cause,cause
47,espère,hope
48,eau,water
49,attendez,Wait
50,nouvelle,new
51,boulot,job
52,arrêter,Stop
53,dirait,would say
54,terre,Earth
55,compte,account
56,donne,given
57,loin,far
58,fin,end
59,croire,believe
60,chérie,sweetheart
61,plutôt,rather
62,filles,girls
63,bureau,office
